class,feature,original_abs_mean,no_number_abs_mean,abs_mean_delta,original_rank,no_number_rank
Mirai,ssh,0.0104305269132078,0.0023084449677229,-0.0081220819454849,29,37
Mirai,icmp,0.010215453656453,0.0028692637116697,-0.007346189944783301,30,30
Mirai,arp,0.0098165987597937,0.0030067131493705,-0.0068098856104232,31,28
Mirai,igmp,0.0096748061573939,0.0032608408666216,-0.006413965290772299,32,27
Mirai,http,0.0093897113244161,0.0024856067451934,-0.0069041045792227005,33,35
Mirai,irc,0.0092751912750725,0.0025939507110723,-0.0066812405640002005,34,34
Mirai,udp,0.008541338637827,0.0062696346275079,-0.0022717040103191,35,15
Mirai,llc,0.008390578364649,0.0044719222153703,-0.003918656149278699,36,23
Mirai,dhcp,0.0076669877684976,0.0047307373056661,-0.0029362504628315,37,22
Mirai,ipv,0.0073903721422977,0.0049047038302984,-0.0024856683119992996,38,20
Mirai,tcp,0.0068502000618051,0.0066550545800557,-0.0001951454817493998,39,14
Recon,syn_cnt,0.075066931227574,0.0695526693426398,-0.005514261884934202,1,4
Recon,rate,0.0610275081937773,0.0291874371204924,-0.031840071073284903,3,14
Recon,https,0.0599778926656423,0.043604098263095,-0.016373794402547305,4,8
Recon,ack_cnt,0.0577763093881894,0.0452671717994186,-0.0125091375887708,5,7
Recon,ttl,0.0451850215727793,0.1080016657048692,0.0628166441320899,6,1
Recon,syn,0.0450386414982408,0.0758051032893264,0.030766461791085595,7,3
Recon,max,0.0440870681772944,0.0339383360120105,-0.010148732165283898,8,12
Recon,fin,0.0429422651569878,0.0382883765852389,-0.0046538885717489,9,10
Recon,psh,0.0409008870724666,0.079002363433936,0.038101476361469405,10,2
Recon,header_len,0.0365416843970936,0.042885722096091,0.0063440376989973984,11,9
Recon,http,0.0332335097522309,0.0523389009586254,0.019105391206394505,12,6
Recon,rst_cnt,0.0324199227418453,0.0326988128404214,0.00027889009857610253,13,13
Recon,tot_size,0.0310622141195224,0.0158460498633262,-0.0152161642561962,14,21
Recon,ack,0.0294419088308531,0.0268713376400253,-0.002570571190827802,15,15
Recon,fin_cnt,0.0292116485578012,0.0257731543028198,-0.003438494254981401,16,16
Recon,proto_num,0.0271813110784084,0.0570757647773192,0.029894453698910802,17,5
Recon,tot_sum,0.0255828780689021,0.0182864912786453,-0.007296386790256799,18,19
Recon,std,0.0251908365779335,0.0100726175355679,-0.015118219042365601,19,23
Recon,avg,0.0242782391416016,0.0174200029201189,-0.006858236221482697,20,20
Recon,iat,0.0221809791803273,0.0072608654216154,-0.014920113758711901,21,27
Recon,dns,0.0196081060723975,0.0255161984870487,0.005908092414651199,22,17
Recon,var,0.0192006479541957,0.0071574339625873,-0.0120432139916084,23,28
Recon,rst,0.0190059261287415,0.0356816444193277,0.016675718290586204,24,11
Recon,min,0.0181415944094083,0.0215748773110001,0.0034332829015918005,25,18
Recon,udp,0.0086437943813105,0.0063939045443143,-0.0022498898369962004,26,30
Recon,tcp,0.0079517973026676,0.0050198169389677,-0.002931980363699899,27,31
Recon,telnet,0.0072727099687556,0.0097555114074328,0.002482801438677201,28,24
Recon,cwr,0.0060819849383748,0.0047704518066981,-0.0013115331316767,29,32
